日期,名稱,開盤價,最高價,最低價,收盤價,成交量,前一天收盤價,Price_Change,Percentage_Change,前一天成交量,Volume_Change,Volume_Percentage_Change
2024/07/29,NASDAQ,17444.390625,17535.3203125,17299.830078125,17370.19921875,4897230000.0,,,,,,
2024/07/30,NASDAQ,17424.099609375,17468.560546875,17015.380859375,17147.419921875,5564310000.0,17370.19921875,-222.779296875,-1.28,4897230000.0,667080000.0,13.62
2024/07/31,NASDAQ,17499.23046875,17693.98046875,17438.599609375,17599.400390625,6292560000.0,17147.419921875,451.98046875,2.64,5564310000.0,728250000.0,13.09
2024/08/01,NASDAQ,17647.029296875,17791.580078125,17051.419921875,17194.150390625,6664550000.0,17599.400390625,-405.25,-2.3,6292560000.0,371990000.0,5.91
2024/08/02,NASDAQ,16780.44921875,16920.630859375,16582.7890625,16776.16015625,6313870000.0,17194.150390625,-417.990234375,-2.43,6664550000.0,-350680000.0,-5.26
2024/08/05,NASDAQ,15712.5302734375,16453.4609375,15708.5400390625,16200.080078125,6852190000.0,16776.16015625,-576.080078125,-3.43,6313870000.0,538320000.0,8.53
2024/08/06,NASDAQ,16261.3603515625,16620.310546875,16137.650390625,16366.849609375,5908930000.0,16200.080078125,166.76953125,1.03,6852190000.0,-943260000.0,-13.77
2024/08/07,NASDAQ,16622.310546875,16709.810546875,16179.5302734375,16195.8095703125,5913620000.0,16366.849609375,-171.0400390625,-1.05,5908930000.0,4690000.0,0.08
2024/08/08,NASDAQ,16408.26953125,16694.25,16262.9296875,16660.01953125,5815880000.0,16195.8095703125,464.2099609375,2.87,5913620000.0,-97740000.0,-1.65
2024/08/09,NASDAQ,16636.51953125,16789.220703125,16574.5703125,16745.30078125,5783410000.0,16660.01953125,85.28125,0.51,5815880000.0,-32470000.0,-0.56
2024/08/12,NASDAQ,16793.640625,16895.7890625,16699.390625,16780.609375,4890850000.0,16745.30078125,35.30859375,0.21,5783410000.0,-892560000.0,-15.43
2024/08/13,NASDAQ,16944.740234375,17192.7890625,16943.94921875,17187.609375,5469160000.0,16780.609375,407.0,2.43,4890850000.0,578310000.0,11.82
2024/08/14,NASDAQ,17227.640625,17260.73046875,17032.169921875,17192.599609375,4985480000.0,17187.609375,4.990234375,0.03,5469160000.0,-483680000.0,-8.84
2024/08/15,NASDAQ,17394.5390625,17602.720703125,17375.41015625,17594.5,5478170000.0,17192.599609375,401.900390625,2.34,4985480000.0,492690000.0,9.88
2024/08/16,NASDAQ,17516.400390625,17674.650390625,17502.830078125,17631.720703125,5138150000.0,17594.5,37.220703125,0.21,5478170000.0,-340020000.0,-6.21
2024/08/19,NASDAQ,17649.740234375,17877.439453125,17585.580078125,17876.76953125,5564300000.0,17631.720703125,245.048828125,1.39,5138150000.0,426150000.0,8.29
2024/08/20,NASDAQ,17849.08984375,17932.529296875,17758.19921875,17816.939453125,5305260000.0,17876.76953125,-59.830078125,-0.33,5564300000.0,-259040000.0,-4.66
2024/08/21,NASDAQ,17840.509765625,17963.0703125,17790.98046875,17918.990234375,4765150000.0,17816.939453125,102.05078125,0.57,5305260000.0,-540110000.0,-10.18
2024/08/22,NASDAQ,17993.720703125,18017.689453125,17589.150390625,17619.349609375,5065360000.0,17918.990234375,-299.640625,-1.67,4765150000.0,300210000.0,6.3
2024/08/23,NASDAQ,17772.73046875,17941.26953125,17700.26953125,17877.7890625,5380810000.0,17619.349609375,258.439453125,1.47,5065360000.0,315450000.0,6.23
2024/08/26,NASDAQ,17867.849609375,17909.08984375,17645.689453125,17725.76953125,5110940000.0,17877.7890625,-152.01953125,-0.85,5380810000.0,-269870000.0,-5.02
2024/08/27,NASDAQ,17655.51953125,17789.720703125,17573.369140625,17754.8203125,4362380000.0,17725.76953125,29.05078125,0.16,5110940000.0,-748560000.0,-14.65
