日期,名稱,開盤價,最高價,最低價,收盤價,成交量,前一天收盤價,Price_Change,Percentage_Change,前一天成交量,Volume_Change,Volume_Percentage_Change
2024/07/29,台灣加權指數,22321.369140625,22471.400390625,22128.140625,22164.490234375,3920300.0,,,,,,
2024/07/30,台灣加權指數,22040.0390625,22276.390625,21833.849609375,22223.5703125,3659100.0,22164.490234375,59.080078125,0.27,3920300.0,-261200.0,-6.66
2024/07/31,台灣加權指數,22088.779296875,22315.310546875,22046.2890625,22199.349609375,3673200.0,22223.5703125,-24.220703125,-0.11,3659100.0,14100.0,0.39
2024/08/01,台灣加權指數,22546.400390625,22652.2109375,22465.060546875,22642.099609375,4149100.0,22199.349609375,442.75,1.99,3673200.0,475900.0,12.96
2024/08/02,台灣加權指數,22141.19921875,22141.19921875,21636.220703125,21638.08984375,4570100.0,22642.099609375,-1004.009765625,-4.43,4149100.0,421000.0,10.15
2024/08/05,台灣加權指數,20982.919921875,20982.919921875,19783.5,19830.880859375,6413800.0,21638.08984375,-1807.208984375,-8.35,4570100.0,1843700.0,40.34
2024/08/06,台灣加權指數,20344.390625,20751.5,19662.740234375,20501.01953125,6051700.0,19830.880859375,670.138671875,3.38,6413800.0,-362100.0,-5.65
2024/08/07,台灣加權指數,20638.279296875,21306.23046875,20638.279296875,21295.279296875,3982300.0,20501.01953125,794.259765625,3.87,6051700.0,-2069400.0,-34.2
2024/08/08,台灣加權指數,21047.16015625,21074.189453125,20723.259765625,20870.099609375,3746500.0,21295.279296875,-425.1796875,-2.0,3982300.0,-235800.0,-5.92
2024/08/09,台灣加權指數,21212.0,21613.759765625,21212.0,21469.0,4426600.0,20870.099609375,598.900390625,2.87,3746500.0,680100.0,18.15
2024/08/12,台灣加權指數,21598.9296875,21897.98046875,21598.9296875,21773.259765625,3821500.0,21469.0,304.259765625,1.42,4426600.0,-605100.0,-13.67
2024/08/13,台灣加權指數,21816.0703125,21866.630859375,21698.470703125,21796.5703125,3389300.0,21773.259765625,23.310546875,0.11,3821500.0,-432200.0,-11.31
2024/08/14,台灣加權指數,21952.029296875,22155.2890625,21942.220703125,22027.25,3955900.0,21796.5703125,230.6796875,1.06,3389300.0,566600.0,16.72
2024/08/15,台灣加權指數,22005.689453125,22089.0390625,21895.169921875,21895.169921875,3151800.0,22027.25,-132.080078125,-0.6,3955900.0,-804100.0,-20.33
2024/08/16,台灣加權指數,22114.720703125,22374.939453125,22114.720703125,22349.330078125,3855200.0,21895.169921875,454.16015625,2.07,3151800.0,703400.0,22.32
2024/08/19,台灣加權指數,22338.830078125,22485.91015625,22307.169921875,22409.630859375,3122100.0,22349.330078125,60.30078125,0.27,3855200.0,-733100.0,-19.02
2024/08/20,台灣加權指數,22464.0703125,22545.890625,22369.25,22429.099609375,3871600.0,22409.630859375,19.46875,0.09,3122100.0,749500.0,24.01
2024/08/21,台灣加權指數,22316.779296875,22358.880859375,22165.8203125,22237.890625,4134900.0,22429.099609375,-191.208984375,-0.85,3871600.0,263300.0,6.8
2024/08/22,台灣加權指數,22254.58984375,22315.919921875,22096.259765625,22148.830078125,3019700.0,22237.890625,-89.060546875,-0.4,4134900.0,-1115200.0,-26.97
2024/08/23,台灣加權指數,22042.58984375,22159.26953125,21935.98046875,22158.05078125,4275900.0,22148.830078125,9.220703125,0.04,3019700.0,1256200.0,41.6
2024/08/26,台灣加權指數,22250.490234375,22449.44921875,22164.529296875,22240.119140625,4880500.0,22158.05078125,82.068359375,0.37,4275900.0,604600.0,14.14
2024/08/27,台灣加權指數,22179.2109375,22205.109375,22059.509765625,22185.0,3660500.0,22240.119140625,-55.119140625,-0.25,4880500.0,-1220000.0,-25.0
2024/08/28,台灣加權指數,22210.5703125,22370.66015625,22108.859375,22370.66015625,3293800.0,22185.0,185.66015625,0.84,3660500.0,-366700.0,-10.02
2024/08/29,台灣加權指數,22136.310546875,22273.619140625,22010.890625,22201.849609375,3416000.0,22370.66015625,-168.810546875,-0.75,3293800.0,122200.0,3.71
2024/08/30,台灣加權指數,22230.0703125,22342.25,22230.0703125,22268.08984375,4245800.0,22201.849609375,66.240234375,0.3,3416000.0,829800.0,24.29
2024/09/02,台灣加權指數,22341.900390625,22439.310546875,22178.0390625,22235.099609375,2928000.0,22268.08984375,-32.990234375,-0.15,4245800.0,-1317800.0,-31.04
2024/09/03,台灣加權指數,22240.109375,22303.5,22092.2109375,22092.2109375,2936800.0,22235.099609375,-142.888671875,-0.64,2928000.0,8800.0,0.3
2024/09/04,台灣加權指數,21574.650390625,21574.650390625,20922.169921875,21092.75,4571100.0,22092.2109375,-999.4609375,-4.52,2936800.0,1634300.0,55.65
2024/09/05,台灣加權指數,21271.08984375,21488.810546875,21150.990234375,21187.7109375,3353700.0,21092.75,94.9609375,0.45,4571100.0,-1217400.0,-26.63
2024/09/06,台灣加權指數,21255.44921875,21461.7109375,21125.140625,21435.189453125,2587200.0,21187.7109375,247.478515625,1.17,3353700.0,-766500.0,-22.86
2024/09/09,台灣加權指數,21127.810546875,21163.91015625,20922.509765625,21144.439453125,2944600.0,21435.189453125,-290.75,-1.36,2587200.0,357400.0,13.81
2024/09/10,台灣加權指數,21252.5703125,21324.4296875,20977.0,21064.080078125,3118200.0,21144.439453125,-80.359375,-0.38,2944600.0,173600.0,5.9
2024/09/11,台灣加權指數,21089.1796875,21134.05078125,21031.0,21031.0,2863800.0,21064.080078125,-33.080078125,-0.16,3118200.0,-254400.0,-8.16
2024/09/12,台灣加權指數,21373.640625,21706.849609375,21373.640625,21653.25,3050300.0,21031.0,622.25,2.96,2863800.0,186500.0,6.51
2024/09/13,台灣加權指數,21754.359375,21796.390625,21643.220703125,21759.650390625,2514700.0,21653.25,106.400390625,0.49,3050300.0,-535600.0,-17.56
2024/09/16,台灣加權指數,21800.0,21854.740234375,21736.69921875,21850.080078125,2823700.0,21759.650390625,90.4296875,0.42,2514700.0,309000.0,12.29
2024/09/18,台灣加權指數,21813.5390625,21859.16015625,21584.630859375,21678.83984375,3989100.0,21850.080078125,-171.240234375,-0.78,2823700.0,1165400.0,41.27
2024/09/19,台灣加權指數,21675.400390625,22042.689453125,21656.66015625,22042.689453125,3393700.0,21678.83984375,363.849609375,1.68,3989100.0,-595400.0,-14.93
2024/09/20,台灣加權指數,22246.240234375,22354.5390625,22136.529296875,22159.419921875,5085000.0,22042.689453125,116.73046875,0.53,3393700.0,1691300.0,49.84
2024/09/23,台灣加權指數,22170.939453125,22307.4609375,22170.939453125,22285.529296875,3582300.0,22159.419921875,126.109375,0.57,5085000.0,-1502700.0,-29.55
2024/09/24,台灣加權指數,22273.7890625,22431.779296875,22154.55078125,22431.779296875,3517800.0,22285.529296875,146.25,0.66,3582300.0,-64500.0,-1.8
2024/09/25,台灣加權指數,22569.2890625,22785.3203125,22569.2890625,22761.599609375,4014100.0,22431.779296875,329.8203125,1.47,3517800.0,496300.0,14.11
2024/09/26,台灣加權指數,22841.419921875,22961.76953125,22769.240234375,22858.810546875,3923400.0,22761.599609375,97.2109375,0.43,4014100.0,-90700.0,-2.26
2024/09/27,台灣加權指數,22978.970703125,23079.2109375,22806.830078125,22822.7890625,4104100.0,22858.810546875,-36.021484375,-0.16,3923400.0,180700.0,4.61
