日期,名稱,開盤價,最高價,最低價,收盤價,成交量,前一天收盤價,Price_Change,Percentage_Change,前一天成交量,Volume_Change,Volume_Percentage_Change
2024/07/29,小麥,523.5,532.75,514.25,531.0,53527.0,,,,,,
2024/07/30,小麥,528.75,529.5,517.0,524.0,50329.0,531.0,-7.0,-1.32,53527.0,-3198.0,-5.97
2024/07/31,小麥,523.0,534.0,515.5,527.25,60814.0,524.0,3.25,0.62,50329.0,10485.0,20.83
2024/08/01,小麥,526.75,534.75,519.75,532.0,56989.0,527.25,4.75,0.9,60814.0,-3825.0,-6.29
2024/08/02,小麥,532.0,540.5,528.5,539.0,51484.0,532.0,7.0,1.32,56989.0,-5505.0,-9.66
2024/08/05,小麥,540.25,541.5,519.75,539.5,60219.0,539.0,0.5,0.09,51484.0,8735.0,16.97
2024/08/06,小麥,540.0,548.75,531.5,543.25,59182.0,539.5,3.75,0.7,60219.0,-1037.0,-1.72
2024/08/07,小麥,544.0,548.75,534.75,538.25,79911.0,543.25,-5.0,-0.92,59182.0,20729.0,35.03
2024/08/08,小麥,537.75,544.5,532.5,537.5,67628.0,538.25,-0.75,-0.14,79911.0,-12283.0,-15.37
2024/08/09,小麥,537.25,552.0,536.25,542.5,82400.0,537.5,5.0,0.93,67628.0,14772.0,21.84
2024/08/12,小麥,542.75,547.0,528.0,536.75,84754.0,542.5,-5.75,-1.06,82400.0,2354.0,2.86
2024/08/13,小麥,538.0,538.25,525.0,528.75,67772.0,536.75,-8.0,-1.49,84754.0,-16982.0,-20.04
2024/08/14,小麥,529.25,537.25,524.0,534.75,84253.0,528.75,6.0,1.13,67772.0,16481.0,24.32
2024/08/15,小麥,535.75,547.75,527.0,528.25,69556.0,534.75,-6.5,-1.22,84253.0,-14697.0,-17.44
2024/08/16,小麥,527.25,533.5,523.25,530.0,52852.0,528.25,1.75,0.33,69556.0,-16704.0,-24.02
2024/08/19,小麥,530.5,531.25,521.75,528.25,46025.0,530.0,-1.75,-0.33,52852.0,-6827.0,-12.92
2024/08/20,小麥,528.0,535.5,525.75,533.0,43754.0,528.25,4.75,0.9,46025.0,-2271.0,-4.93
2024/08/21,小麥,533.75,536.5,519.0,519.75,35065.0,533.0,-13.25,-2.49,43754.0,-8689.0,-19.86
2024/08/22,小麥,521.25,524.0,502.5,511.0,44564.0,519.75,-8.75,-1.68,35065.0,9499.0,27.09
2024/08/23,小麥,512.0,513.75,501.25,502.25,48966.0,511.0,-8.75,-1.71,44564.0,4402.0,9.88
2024/08/26,小麥,505.25,506.0,495.5,498.0,39317.0,502.25,-4.25,-0.85,48966.0,-9649.0,-19.71
2024/08/27,小麥,497.25,510.75,493.5,508.25,31510.0,498.0,10.25,2.06,39317.0,-7807.0,-19.86
2024/08/28,小麥,507.0,516.0,505.5,514.25,19344.0,508.25,6.0,1.18,31510.0,-12166.0,-38.61
2024/08/29,小麥,513.0,525.0,508.25,525.0,12493.0,514.25,10.75,2.09,19344.0,-6851.0,-35.42
2024/08/30,小麥,522.5,534.75,522.5,532.75,830.0,525.0,7.75,1.48,12493.0,-11663.0,-93.36
2024/09/03,小麥,531.5,552.0,530.5,552.0,426.0,532.75,19.25,3.61,830.0,-404.0,-48.67
2024/09/04,小麥,551.5,568.75,551.5,565.25,156.0,552.0,13.25,2.4,426.0,-270.0,-63.38
2024/09/05,小麥,565.5,565.5,557.0,561.0,118.0,565.25,-4.25,-0.75,156.0,-38.0,-24.36
2024/09/06,小麥,565.75,565.75,552.25,553.25,429.0,561.0,-7.75,-1.38,118.0,311.0,263.56
2024/09/09,小麥,555.5,555.5,555.5,555.5,429.0,553.25,2.25,0.41,429.0,0.0,0.0
2024/09/10,小麥,554.75,558.75,554.75,558.75,7.0,555.5,3.25,0.59,429.0,-422.0,-98.37
2024/09/11,小麥,563.75,563.75,563.75,563.75,7.0,558.75,5.0,0.89,7.0,0.0,0.0
2024/09/12,小麥,563.0,563.0,563.0,563.0,2.0,563.75,-0.75,-0.13,7.0,-5.0,-71.43
2024/09/13,小麥,571.25,571.25,571.25,571.25,89761.0,563.0,8.25,1.47,2.0,89759.0,4487950.0
2024/09/16,小麥,594.75,596.0,574.25,578.5,80580.0,571.25,7.25,1.27,89761.0,-9181.0,-10.23
2024/09/17,小麥,578.5,584.25,571.25,575.75,45713.0,578.5,-2.75,-0.48,80580.0,-34867.0,-43.27
2024/09/18,小麥,576.0,582.75,573.0,575.75,47041.0,575.75,0.0,0.0,45713.0,1328.0,2.91
2024/09/19,小麥,575.75,577.25,564.0,565.5,51648.0,575.75,-10.25,-1.78,47041.0,4607.0,9.79
2024/09/20,小麥,566.25,575.75,565.25,568.5,60486.0,565.5,3.0,0.53,51648.0,8838.0,17.11
2024/09/23,小麥,570.5,586.5,569.0,582.5,63331.0,568.5,14.0,2.46,60486.0,2845.0,4.7
2024/09/24,小麥,581.25,589.25,575.25,578.0,52268.0,582.5,-4.5,-0.77,63331.0,-11063.0,-17.47
2024/09/25,小麥,579.0,591.25,573.75,589.25,52959.0,578.0,11.25,1.95,52268.0,691.0,1.32
2024/09/26,小麥,590.5,596.25,582.75,584.25,69058.0,589.25,-5.0,-0.85,52959.0,16099.0,30.4
2024/09/27,小麥,583.0,583.5,575.5,580.0,46189.0,584.25,-4.25,-0.73,69058.0,-22869.0,-33.12
2024/09/30,小麥,579.75,590.75,575.5,584.0,58874.0,580.0,4.0,0.69,46189.0,12685.0,27.46
2024/10/01,小麥,584.0,602.5,577.0,599.0,84582.0,584.0,15.0,2.57,58874.0,25708.0,43.67
2024/10/02,小麥,596.25,617.25,596.25,615.25,116431.0,599.0,16.25,2.71,84582.0,31849.0,37.65
2024/10/03,小麥,614.25,617.25,601.25,603.5,78992.0,615.25,-11.75,-1.91,116431.0,-37439.0,-32.16
2024/10/04,小麥,603.75,604.25,587.0,589.75,76333.0,603.5,-13.75,-2.28,78992.0,-2659.0,-3.37
2024/10/07,小麥,590.25,595.25,584.0,592.5,55580.0,589.75,2.75,0.47,76333.0,-20753.0,-27.19
2024/10/08,小麥,593.75,599.0,587.5,594.75,59037.0,592.5,2.25,0.38,55580.0,3457.0,6.22
2024/10/09,小麥,594.75,604.75,594.25,599.0,55193.0,594.75,4.25,0.71,59037.0,-3844.0,-6.51
2024/10/10,小麥,600.75,609.25,598.5,603.75,60990.0,599.0,4.75,0.79,55193.0,5797.0,10.5
2024/10/11,小麥,603.75,611.25,592.5,599.0,75587.0,603.75,-4.75,-0.79,60990.0,14597.0,23.93
2024/10/14,小麥,598.5,601.0,584.25,585.25,55970.0,599.0,-13.75,-2.3,75587.0,-19617.0,-25.95
2024/10/15,小麥,585.5,586.75,578.0,579.5,69756.0,585.25,-5.75,-0.98,55970.0,13786.0,24.63
2024/10/16,小麥,581.25,587.5,575.25,585.0,57508.0,579.5,5.5,0.95,69756.0,-12248.0,-17.56
2024/10/17,小麥,584.25,591.75,576.25,589.5,75298.0,585.0,4.5,0.77,57508.0,17790.0,30.93
2024/10/18,小麥,590.0,595.5,570.25,572.75,82026.0,589.5,-16.75,-2.84,75298.0,6728.0,8.94
2024/10/21,小麥,572.75,584.25,570.75,572.25,74088.0,572.75,-0.5,-0.09,82026.0,-7938.0,-9.68
2024/10/22,小麥,574.0,578.75,565.75,576.0,49868.0,572.25,3.75,0.66,74088.0,-24220.0,-32.69
2024/10/23,小麥,575.75,582.75,566.25,578.5,57247.0,576.0,2.5,0.43,49868.0,7379.0,14.8
2024/10/24,小麥,579.0,584.25,575.0,581.5,49883.0,578.5,3.0,0.52,57247.0,-7364.0,-12.86
2024/10/25,小麥,581.25,585.5,566.0,569.0,75987.0,581.5,-12.5,-2.15,49883.0,26104.0,52.33
2024/10/28,小麥,564.25,571.5,557.75,558.75,61302.0,569.0,-10.25,-1.8,75987.0,-14685.0,-19.33
2024/10/29,小麥,559.0,572.75,558.0,570.5,67415.0,558.75,11.75,2.1,61302.0,6113.0,9.97
2024/10/30,小麥,571.25,580.5,564.0,573.25,68179.0,570.5,2.75,0.48,67415.0,764.0,1.13
2024/10/31,小麥,572.75,573.75,563.5,570.5,61593.0,573.25,-2.75,-0.48,68179.0,-6586.0,-9.66
2024/11/01,小麥,571.5,577.75,564.25,568.0,54164.0,570.5,-2.5,-0.44,61593.0,-7429.0,-12.06
2024/11/04,小麥,569.0,575.75,565.0,568.75,55475.0,568.0,0.75,0.13,54164.0,1311.0,2.42
2024/11/05,小麥,569.5,574.5,565.25,572.5,58641.0,568.75,3.75,0.66,55475.0,3166.0,5.71
2024/11/06,小麥,571.0,577.75,562.0,573.25,67945.0,572.5,0.75,0.13,58641.0,9304.0,15.87
2024/11/07,小麥,574.5,579.5,565.0,571.5,105864.0,573.25,-1.75,-0.31,67945.0,37919.0,55.81
2024/11/08,小麥,572.5,578.75,566.5,572.5,112145.0,571.5,1.0,0.17,105864.0,6281.0,5.93
2024/11/11,小麥,572.75,572.75,551.75,565.5,125709.0,572.5,-7.0,-1.22,112145.0,13564.0,12.1
2024/11/12,小麥,564.75,568.75,549.0,552.25,105727.0,565.5,-13.25,-2.34,125709.0,-19982.0,-15.9
2024/11/13,小麥,553.25,553.75,536.25,541.0,113238.0,552.25,-11.25,-2.04,105727.0,7511.0,7.1
2024/11/14,小麥,540.0,544.25,528.0,530.25,89913.0,541.0,-10.75,-1.99,113238.0,-23325.0,-20.6
2024/11/15,小麥,532.0,541.25,530.5,536.5,73593.0,530.25,6.25,1.18,89913.0,-16320.0,-18.15
2024/11/18,小麥,541.0,551.0,536.75,547.25,68144.0,536.5,10.75,2.0,73593.0,-5449.0,-7.4
2024/11/19,小麥,547.75,558.75,545.5,549.75,57490.0,547.25,2.5,0.46,68144.0,-10654.0,-15.63
2024/11/20,小麥,549.5,555.25,543.5,552.5,41277.0,549.75,2.75,0.5,57490.0,-16213.0,-28.2
2024/11/21,小麥,552.5,557.5,547.75,548.75,34966.0,552.5,-3.75,-0.68,41277.0,-6311.0,-15.29
2024/11/22,小麥,548.0,550.5,542.5,544.25,36559.0,548.75,-4.5,-0.82,34966.0,1593.0,4.56
2024/11/25,小麥,544.75,547.5,529.5,535.75,30009.0,544.25,-8.5,-1.56,36559.0,-6550.0,-17.92
2024/11/26,小麥,535.75,543.5,532.75,539.5,34123.0,535.75,3.75,0.7,30009.0,4114.0,13.71
2024/11/27,小麥,538.25,542.75,531.0,537.75,18864.0,539.5,-1.75,-0.32,34123.0,-15259.0,-44.72
2024/11/29,小麥,535.0,545.25,531.75,532.25,1246.0,537.75,-5.5,-1.02,18864.0,-17618.0,-93.39
2024/12/02,小麥,536.25,539.5,531.25,537.5,63.0,532.25,5.25,0.99,1246.0,-1183.0,-94.94
2024/12/03,小麥,539.0,544.75,536.75,536.75,47.0,537.5,-0.75,-0.14,63.0,-16.0,-25.4
