日期,名稱,開盤價,最高價,最低價,收盤價,成交量,前一天收盤價,Price_Change,Percentage_Change,前一天成交量,Volume_Change,Volume_Percentage_Change
2024/07/29,日經指數,38139.12109375,38719.69921875,38010.01171875,38468.62890625,107300000.0,,,,,,
2024/07/30,日經指數,38241.3515625,38531.16015625,38076.69921875,38525.94921875,109700000.0,38468.62890625,57.3203125,0.15,107300000.0,2400000.0,2.24
2024/07/31,日經指數,38140.76953125,39188.37109375,37954.37890625,39101.8203125,146400000.0,38525.94921875,575.87109375,1.49,109700000.0,36700000.0,33.45
2024/08/01,日經指數,38781.55859375,38781.55859375,37737.87890625,38126.328125,178800000.0,39101.8203125,-975.4921875,-2.49,146400000.0,32400000.0,22.13
2024/08/02,日經指數,37444.171875,37471.51953125,35880.1484375,35909.69921875,204300000.0,38126.328125,-2216.62890625,-5.81,178800000.0,25500000.0,14.26
2024/08/05,日經指數,35249.359375,35301.1796875,31156.119140625,31458.419921875,285600000.0,35909.69921875,-4451.279296875,-12.4,204300000.0,81300000.0,39.79
2024/08/06,日經指數,32077.330078125,34911.80078125,32077.330078125,34675.4609375,251200000.0,31458.419921875,3217.041015625,10.23,285600000.0,-34400000.0,-12.04
2024/08/07,日經指數,34122.3515625,35849.76953125,33739.4609375,35089.62109375,242800000.0,34675.4609375,414.16015625,1.19,251200000.0,-8400000.0,-3.34
2024/08/08,日經指數,34645.7890625,35379.6484375,34207.16015625,34831.1484375,165300000.0,35089.62109375,-258.47265625,-0.74,242800000.0,-77500000.0,-31.92
2024/08/09,日經指數,35272.33984375,35671.30859375,34445.5703125,35025.0,176900000.0,34831.1484375,193.8515625,0.56,165300000.0,11600000.0,7.02
2024/08/13,日經指數,35490.578125,36232.51171875,35476.7890625,36232.51171875,140700000.0,35025.0,1207.51171875,3.45,176900000.0,-36200000.0,-20.46
2024/08/14,日經指數,36535.6015625,36683.890625,36074.7109375,36442.4296875,135600000.0,36232.51171875,209.91796875,0.58,140700000.0,-5100000.0,-3.62
2024/08/15,日經指數,36381.3984375,36885.16015625,36381.3984375,36726.640625,119700000.0,36442.4296875,284.2109375,0.78,135600000.0,-15900000.0,-11.73
2024/08/16,日經指數,37304.9296875,38143.55078125,37304.9296875,38062.671875,129500000.0,36726.640625,1336.03125,3.64,119700000.0,9800000.0,8.19
2024/08/19,日經指數,37863.76171875,38125.26953125,37318.0390625,37388.62109375,107800000.0,38062.671875,-674.05078125,-1.77,129500000.0,-21700000.0,-16.76
2024/08/20,日經指數,37847.8515625,38236.390625,37738.30078125,38062.921875,110600000.0,37388.62109375,674.30078125,1.8,107800000.0,2800000.0,2.6
2024/08/21,日經指數,37653.33984375,38026.01953125,37605.828125,37951.80078125,94800000.0,38062.921875,-111.12109375,-0.29,110600000.0,-15800000.0,-14.29
2024/08/22,日經指數,38033.78125,38408.19140625,37883.859375,38211.01171875,92800000.0,37951.80078125,259.2109375,0.68,94800000.0,-2000000.0,-2.11
2024/08/23,日經指數,38278.1796875,38424.26953125,38053.46875,38364.26953125,89800000.0,38211.01171875,153.2578125,0.4,92800000.0,-3000000.0,-3.23
2024/08/26,日經指數,38156.41015625,38204.80859375,37825.30859375,38110.21875,91700000.0,38364.26953125,-254.05078125,-0.66,89800000.0,1900000.0,2.12
2024/08/27,日經指數,38066.30859375,38365.640625,37911.3203125,38288.62109375,84300000.0,38110.21875,178.40234375,0.47,91700000.0,-7400000.0,-8.07
2024/08/28,日經指數,38221.37890625,38399.91015625,38141.48828125,38371.76171875,88700000.0,38288.62109375,83.140625,0.22,84300000.0,4400000.0,5.22
2024/08/29,日經指數,38119.94921875,38401.1484375,37970.19921875,38362.53125,106500000.0,38371.76171875,-9.23046875,-0.02,88700000.0,17800000.0,20.07
2024/08/30,日經指數,38388.0390625,38669.7890625,38316.87109375,38647.75,136600000.0,38362.53125,285.21875,0.74,106500000.0,30100000.0,28.26
2024/09/02,日經指數,39025.30859375,39080.640625,38476.51171875,38700.87109375,87100000.0,38647.75,53.12109375,0.14,136600000.0,-49500000.0,-36.24
2024/09/03,日經指數,38745.76171875,38967.55859375,38581.55078125,38686.30859375,91200000.0,38700.87109375,-14.5625,-0.04,87100000.0,4100000.0,4.71
2024/09/04,日經指數,38039.91015625,38080.01953125,36879.328125,37047.609375,144400000.0,38686.30859375,-1638.69921875,-4.24,91200000.0,53200000.0,58.33
2024/09/05,日經指數,36536.25,37099.9609375,36359.23046875,36657.08984375,111300000.0,37047.609375,-390.51953125,-1.05,144400000.0,-33100000.0,-22.92
2024/09/06,日經指數,36815.0,36898.28125,36235.609375,36391.46875,111700000.0,36657.08984375,-265.62109375,-0.72,111300000.0,400000.0,0.36
2024/09/09,日經指數,35805.8203125,36248.12109375,35247.87109375,36215.75,118200000.0,36391.46875,-175.71875,-0.48,111700000.0,6500000.0,5.82
2024/09/10,日經指數,36386.12109375,36537.03125,36001.578125,36159.16015625,112300000.0,36215.75,-56.58984375,-0.16,118200000.0,-5900000.0,-4.99
2024/09/11,日經指數,36029.8984375,36056.87109375,35253.4296875,35619.76953125,127600000.0,36159.16015625,-539.390625,-1.49,112300000.0,15300000.0,13.62
