日期,名稱,開盤價,最高價,最低價,收盤價,成交量,前一天收盤價,Price_Change,Percentage_Change,前一天成交量,Volume_Change,Volume_Percentage_Change
2024/07/29,玉米,392.75,397.0,390.0,396.25,142225.0,,,,,,
2024/07/30,玉米,396.0,396.75,387.25,388.75,123321.0,396.25,-7.5,-1.89,142225.0,-18904.0,-13.29
2024/07/31,玉米,387.75,390.5,381.0,382.75,156261.0,388.75,-6.0,-1.54,123321.0,32940.0,26.71
2024/08/01,玉米,382.5,384.0,378.0,382.0,116742.0,382.75,-0.75,-0.2,156261.0,-39519.0,-25.29
2024/08/02,玉米,383.0,387.75,381.75,386.5,113751.0,382.0,4.5,1.18,116742.0,-2991.0,-2.56
2024/08/05,玉米,385.75,391.75,378.75,390.75,157029.0,386.5,4.25,1.1,113751.0,43278.0,38.05
2024/08/06,玉米,390.75,393.0,385.75,388.75,107227.0,390.75,-2.0,-0.51,157029.0,-49802.0,-31.72
2024/08/07,玉米,387.75,388.0,381.75,383.25,199142.0,388.75,-5.5,-1.41,107227.0,91915.0,85.72
2024/08/08,玉米,383.0,386.5,378.5,379.25,157714.0,383.25,-4.0,-1.04,199142.0,-41428.0,-20.8
2024/08/09,玉米,379.0,381.25,375.25,376.75,157231.0,379.25,-2.5,-0.66,157714.0,-483.0,-0.31
2024/08/12,玉米,376.25,385.25,372.5,383.25,203695.0,376.75,6.5,1.73,157231.0,46464.0,29.55
2024/08/13,玉米,382.75,385.0,376.25,377.75,172577.0,383.25,-5.5,-1.44,203695.0,-31118.0,-15.28
2024/08/14,玉米,377.25,382.0,376.0,381.0,125031.0,377.75,3.25,0.86,172577.0,-47546.0,-27.55
2024/08/15,玉米,380.75,383.5,374.5,375.0,151990.0,381.0,-6.0,-1.57,125031.0,26959.0,21.56
2024/08/16,玉米,374.5,375.75,367.75,370.5,137465.0,375.0,-4.5,-1.2,151990.0,-14525.0,-9.56
2024/08/19,玉米,370.25,378.5,370.0,378.0,151084.0,370.5,7.5,2.02,137465.0,13619.0,9.91
2024/08/20,玉米,377.75,378.5,374.75,375.0,122507.0,378.0,-3.0,-0.79,151084.0,-28577.0,-18.91
2024/08/21,玉米,374.75,378.0,374.0,375.5,96191.0,375.0,0.5,0.13,122507.0,-26316.0,-21.48
2024/08/22,玉米,375.5,376.5,370.75,371.5,131932.0,375.5,-4.0,-1.07,96191.0,35741.0,37.16
2024/08/23,玉米,371.0,374.0,367.25,367.75,138358.0,371.5,-3.75,-1.01,131932.0,6426.0,4.87
2024/08/26,玉米,367.25,367.5,360.5,362.0,143588.0,367.75,-5.75,-1.56,138358.0,5230.0,3.78
2024/08/27,玉米,361.5,369.25,360.75,367.25,161618.0,362.0,5.25,1.45,143588.0,18030.0,12.56
2024/08/28,玉米,367.0,367.75,362.25,365.25,160784.0,367.25,-2.0,-0.54,161618.0,-834.0,-0.52
2024/08/29,玉米,364.25,372.75,363.75,371.75,100531.0,365.25,6.5,1.78,160784.0,-60253.0,-37.47
2024/08/30,玉米,371.25,378.75,371.0,378.0,6393.0,371.75,6.25,1.68,100531.0,-94138.0,-93.64
2024/09/03,玉米,378.0,386.75,376.5,386.5,3017.0,378.0,8.5,2.25,6393.0,-3376.0,-52.81
2024/09/04,玉米,385.5,391.25,383.0,390.5,1519.0,386.5,4.0,1.03,3017.0,-1498.0,-49.65
2024/09/05,玉米,389.0,390.0,386.75,390.0,485.0,390.5,-0.5,-0.13,1519.0,-1034.0,-68.07
2024/09/06,玉米,389.75,395.25,383.0,383.75,504.0,390.0,-6.25,-1.6,485.0,19.0,3.92
2024/09/09,玉米,383.75,385.25,381.0,384.25,504.0,383.75,0.5,0.13,504.0,0.0,0.0
2024/09/10,玉米,382.75,382.75,379.5,379.5,296.0,384.25,-4.75,-1.24,504.0,-208.0,-41.27
2024/09/11,玉米,379.75,381.25,377.0,380.5,117.0,379.5,1.0,0.26,296.0,-179.0,-60.47
2024/09/12,玉米,380.5,387.5,380.5,386.25,123.0,380.5,5.75,1.51,117.0,6.0,5.13
2024/09/13,玉米,381.25,394.0,381.0,390.75,229028.0,386.25,4.5,1.17,123.0,228905.0,186101.63
2024/09/16,玉米,413.0,413.0,408.5,410.75,150818.0,390.75,20.0,5.12,229028.0,-78210.0,-34.15
2024/09/17,玉米,410.0,413.0,408.5,412.5,123973.0,410.75,1.75,0.43,150818.0,-26845.0,-17.8
2024/09/18,玉米,412.0,415.0,411.0,412.75,134644.0,412.5,0.25,0.06,123973.0,10671.0,8.61
