日期,名稱,開盤價,最高價,最低價,收盤價,成交量,前一天收盤價,Price_Change,Percentage_Change,前一天成交量,Volume_Change,Volume_Percentage_Change
2024/07/29,黃豆,1073.75,1073.75,1030.75,1054.75,37618.0,,,,,,
2024/07/30,黃豆,1054.75,1059.0,1023.75,1027.25,16709.0,1054.75,-27.5,-2.61,37618.0,-20909.0,-55.58
2024/07/31,黃豆,1027.25,1048.5,1020.5,1028.5,2651.0,1027.25,1.25,0.12,16709.0,-14058.0,-84.13
2024/08/01,黃豆,1030.0,1034.0,1019.5,1022.0,1384.0,1028.5,-6.5,-0.63,2651.0,-1267.0,-47.79
2024/08/02,黃豆,1022.0,1031.5,1019.0,1029.25,633.0,1022.0,7.25,0.71,1384.0,-751.0,-54.26
2024/08/05,黃豆,1040.0,1045.0,1021.5,1044.25,64.0,1029.25,15.0,1.46,633.0,-569.0,-89.89
2024/08/06,黃豆,1033.0,1038.25,1028.5,1028.5,694.0,1044.25,-15.75,-1.51,64.0,630.0,984.38
2024/08/07,黃豆,1020.75,1023.25,1017.25,1020.25,195.0,1028.5,-8.25,-0.8,694.0,-499.0,-71.9
2024/08/08,黃豆,1023.25,1023.25,1009.75,1009.75,172.0,1020.25,-10.5,-1.03,195.0,-23.0,-11.79
2024/08/09,黃豆,1018.0,1028.0,1014.5,1028.0,24.0,1009.75,18.25,1.81,172.0,-148.0,-86.05
2024/08/12,黃豆,1020.5,1038.25,1012.0,1012.0,12.0,1028.0,-16.0,-1.56,24.0,-12.0,-50.0
2024/08/13,黃豆,1003.0,1003.0,989.0,989.0,19.0,1012.0,-23.0,-2.27,12.0,7.0,58.33
2024/08/14,黃豆,989.5,989.75,979.75,979.75,15972.0,989.0,-9.25,-0.94,19.0,15953.0,83963.16
2024/08/15,黃豆,951.75,961.0,950.5,951.5,15039.0,979.75,-28.25,-2.88,15972.0,-933.0,-5.84
2024/08/16,黃豆,950.5,952.5,936.25,938.75,17420.0,951.5,-12.75,-1.34,15039.0,2381.0,15.83
2024/08/19,黃豆,938.0,957.5,938.0,956.25,15833.0,938.75,17.5,1.86,17420.0,-1587.0,-9.11
2024/08/20,黃豆,955.25,966.25,950.75,957.25,13630.0,956.25,1.0,0.1,15833.0,-2203.0,-13.91
2024/08/21,黃豆,957.0,966.0,955.5,963.0,12788.0,957.25,5.75,0.6,13630.0,-842.0,-6.18
2024/08/22,黃豆,962.0,963.0,940.0,941.25,17660.0,963.0,-21.75,-2.26,12788.0,4872.0,38.1
2024/08/23,黃豆,941.75,954.0,941.25,952.0,16814.0,941.25,10.75,1.14,17660.0,-846.0,-4.79
2024/08/26,黃豆,943.5,961.25,939.25,959.75,18427.0,952.0,7.75,0.81,16814.0,1613.0,9.59
2024/08/27,黃豆,959.0,971.75,957.0,967.5,13636.0,959.75,7.75,0.81,18427.0,-4791.0,-26.0
2024/08/28,黃豆,968.25,969.5,953.5,958.5,10273.0,967.5,-9.0,-0.93,13636.0,-3363.0,-24.66
2024/08/29,黃豆,957.25,975.0,957.0,973.75,10556.0,958.5,15.25,1.59,10273.0,283.0,2.75
2024/08/30,黃豆,974.5,987.5,971.5,982.0,2055.0,973.75,8.25,0.85,10556.0,-8501.0,-80.53
2024/09/03,黃豆,978.75,1007.5,978.75,997.0,518.0,982.0,15.0,1.53,2055.0,-1537.0,-74.79
2024/09/04,黃豆,987.5,1006.0,987.5,1006.0,382.0,997.0,9.0,0.9,518.0,-136.0,-26.25
2024/09/05,黃豆,999.5,1008.25,999.5,1008.25,309.0,1006.0,2.25,0.22,382.0,-73.0,-19.11
2024/09/06,黃豆,1008.0,1008.0,989.25,989.25,122.0,1008.25,-19.0,-1.88,309.0,-187.0,-60.52
2024/09/09,黃豆,1000.25,1000.25,1000.0,1000.0,122.0,989.25,10.75,1.09,122.0,0.0,0.0
2024/09/10,黃豆,980.25,981.75,977.5,977.5,59.0,1000.0,-22.5,-2.25,122.0,-63.0,-51.64
2024/09/11,黃豆,978.25,979.75,978.25,979.75,25.0,977.5,2.25,0.23,59.0,-34.0,-57.63
2024/09/12,黃豆,987.5,991.5,987.5,991.5,4.0,979.75,11.75,1.2,25.0,-21.0,-84.0
2024/09/13,黃豆,986.75,986.75,986.75,986.75,120065.0,991.5,-4.75,-0.48,4.0,120061.0,3001525.0
2024/09/16,黃豆,1005.0,1012.0,999.0,1004.5,79098.0,986.75,17.75,1.8,120065.0,-40967.0,-34.12
2024/09/17,黃豆,1003.75,1011.0,1002.0,1006.0,80303.0,1004.5,1.5,0.15,79098.0,1205.0,1.52
2024/09/18,黃豆,1007.0,1022.0,1006.25,1014.0,147447.0,1006.0,8.0,0.8,80303.0,67144.0,83.61
2024/09/19,黃豆,1015.0,1018.25,1006.75,1013.25,116585.0,1014.0,-0.75,-0.07,147447.0,-30862.0,-20.93
