日期,名稱,開盤價,最高價,最低價,收盤價,成交量,前一天收盤價,Price_Change,Percentage_Change,前一天成交量,Volume_Change,Volume_Percentage_Change
2024/07/29,黃金,2377.300048828125,2377.300048828125,2377.300048828125,2377.300048828125,126409.0,,,,,,
2024/07/30,黃金,2380.89990234375,2409.300048828125,2373.800048828125,2405.0,25944.0,2377.300048828125,27.699951171875,1.17,126409.0,-100465.0,-79.48
2024/07/31,黃金,2407.10009765625,2447.60009765625,2402.800048828125,2426.5,1313.0,2405.0,21.5,0.89,25944.0,-24631.0,-94.94
2024/08/01,黃金,2446.699951171875,2455.10009765625,2430.39990234375,2435.0,690.0,2426.5,8.5,0.35,1313.0,-623.0,-47.45
2024/08/02,黃金,2444.0,2477.0,2416.0,2425.699951171875,550.0,2435.0,-9.300048828125,-0.38,690.0,-140.0,-20.29
2024/08/05,黃金,2442.0,2449.800048828125,2367.39990234375,2401.699951171875,334.0,2425.699951171875,-24.0,-0.99,550.0,-216.0,-39.27
2024/08/06,黃金,2414.5,2421.800048828125,2380.0,2389.10009765625,163.0,2401.699951171875,-12.599853515625,-0.52,334.0,-171.0,-51.2
2024/08/07,黃金,2392.199951171875,2401.0,2384.5,2390.5,130.0,2389.10009765625,1.39990234375,0.06,163.0,-33.0,-20.25
2024/08/08,黃金,2384.300048828125,2422.800048828125,2384.300048828125,2422.199951171875,201.0,2390.5,31.699951171875,1.33,130.0,71.0,54.62
2024/08/09,黃金,2422.300048828125,2432.10009765625,2418.5,2432.10009765625,611.0,2422.199951171875,9.900146484375,0.41,201.0,410.0,203.98
2024/08/12,黃金,2432.699951171875,2469.800048828125,2432.0,2462.39990234375,566.0,2432.10009765625,30.2998046875,1.25,611.0,-45.0,-7.36
2024/08/13,黃金,2461.0,2470.0,2456.5,2466.699951171875,510.0,2462.39990234375,4.300048828125,0.17,566.0,-56.0,-9.89
2024/08/14,黃金,2468.0,2472.10009765625,2439.39990234375,2439.39990234375,274.0,2466.699951171875,-27.300048828125,-1.11,510.0,-236.0,-46.27
2024/08/15,黃金,2451.800048828125,2467.699951171875,2431.199951171875,2453.10009765625,285.0,2439.39990234375,13.7001953125,0.56,274.0,11.0,4.01
2024/08/16,黃金,2453.5,2508.0,2451.39990234375,2498.60009765625,197.0,2453.10009765625,45.5,1.85,285.0,-88.0,-30.88
2024/08/19,黃金,2508.5,2508.5,2487.199951171875,2501.800048828125,88.0,2498.60009765625,3.199951171875,0.13,197.0,-109.0,-55.33
2024/08/20,黃金,2503.5,2527.300048828125,2500.699951171875,2511.300048828125,187.0,2501.800048828125,9.5,0.38,88.0,99.0,112.5
2024/08/21,黃金,2511.0,2515.39990234375,2503.89990234375,2508.39990234375,96.0,2511.300048828125,-2.900146484375,-0.12,187.0,-91.0,-48.66
2024/08/22,黃金,2504.10009765625,2504.10009765625,2471.10009765625,2478.89990234375,210.0,2508.39990234375,-29.5,-1.18,96.0,114.0,118.75
2024/08/23,黃金,2486.5,2508.39990234375,2486.5,2508.39990234375,94.0,2478.89990234375,29.5,1.19,210.0,-116.0,-55.24
2024/08/26,黃金,2509.89990234375,2523.10009765625,2509.10009765625,2517.699951171875,290.0,2508.39990234375,9.300048828125,0.37,94.0,196.0,208.51
2024/08/27,黃金,2515.199951171875,2523.10009765625,2506.89990234375,2516.0,100.0,2517.699951171875,-1.699951171875,-0.07,290.0,-190.0,-65.52
2024/08/28,黃金,2501.0,2501.0,2501.0,2501.0,2353.0,2516.0,-15.0,-0.6,100.0,2253.0,2253.0
2024/08/29,黃金,2504.10009765625,2525.699951171875,2503.89990234375,2525.699951171875,3966.0,2501.0,24.699951171875,0.99,2353.0,1613.0,68.55
2024/08/30,黃金,2519.5,2525.39990234375,2493.800048828125,2493.800048828125,208.0,2525.699951171875,-31.89990234375,-1.26,3966.0,-3758.0,-94.76
2024/09/03,黃金,2501.60009765625,2501.800048828125,2476.300048828125,2489.89990234375,206.0,2493.800048828125,-3.900146484375,-0.16,208.0,-2.0,-0.96
2024/09/04,黃金,2490.89990234375,2493.39990234375,2483.5,2493.39990234375,470.0,2489.89990234375,3.5,0.14,206.0,264.0,128.16
2024/09/05,黃金,2493.699951171875,2513.300048828125,2493.39990234375,2511.39990234375,54.0,2493.39990234375,18.0,0.72,470.0,-416.0,-88.51
2024/09/06,黃金,2510.300048828125,2517.89990234375,2483.699951171875,2493.5,96.0,2511.39990234375,-17.89990234375,-0.71,54.0,42.0,77.78
2024/09/09,黃金,2491.300048828125,2504.699951171875,2491.300048828125,2501.800048828125,96.0,2493.5,8.300048828125,0.33,96.0,0.0,0.0
2024/09/10,黃金,2512.300048828125,2512.300048828125,2512.300048828125,2512.300048828125,5.0,2501.800048828125,10.5,0.42,96.0,-91.0,-94.79
2024/09/11,黃金,2525.800048828125,2525.800048828125,2502.300048828125,2512.10009765625,90.0,2512.300048828125,-0.199951171875,-0.01,5.0,85.0,1700.0
2024/09/12,黃金,2529.10009765625,2557.0,2523.39990234375,2551.199951171875,132.0,2512.10009765625,39.099853515625,1.56,90.0,42.0,46.67
2024/09/13,黃金,2568.800048828125,2581.800048828125,2565.0,2581.300048828125,31.0,2551.199951171875,30.10009765625,1.18,132.0,-101.0,-76.52
2024/09/16,黃金,2580.39990234375,2580.39990234375,2580.39990234375,2580.39990234375,28.0,2581.300048828125,-0.900146484375,-0.03,31.0,-3.0,-9.68
2024/09/17,黃金,2581.199951171875,2581.800048828125,2564.300048828125,2564.300048828125,22.0,2580.39990234375,-16.099853515625,-0.62,28.0,-6.0,-21.43
2024/09/18,黃金,2570.699951171875,2570.699951171875,2549.199951171875,2570.699951171875,25.0,2564.300048828125,6.39990234375,0.25,22.0,3.0,13.64
2024/09/19,黃金,2566.0,2588.0,2566.0,2588.0,99.0,2570.699951171875,17.300048828125,0.67,25.0,74.0,296.0
2024/09/20,黃金,2590.39990234375,2621.800048828125,2590.39990234375,2619.89990234375,17.0,2588.0,31.89990234375,1.23,99.0,-82.0,-82.83
2024/09/23,黃金,2626.5,2626.5,2626.5,2626.5,9.0,2619.89990234375,6.60009765625,0.25,17.0,-8.0,-47.06
2024/09/24,黃金,2636.800048828125,2662.300048828125,2625.5,2651.199951171875,35.0,2626.5,24.699951171875,0.94,9.0,26.0,288.89
2024/09/25,黃金,2656.300048828125,2664.199951171875,2649.300048828125,2659.199951171875,175.0,2651.199951171875,8.0,0.3,35.0,140.0,400.0
2024/09/26,黃金,2662.300048828125,2669.89990234375,2660.800048828125,2669.89990234375,17216.0,2659.199951171875,10.699951171875,0.4,175.0,17041.0,9737.71
2024/09/27,黃金,2670.0,2672.10009765625,2641.699951171875,2644.300048828125,4228.0,2669.89990234375,-25.599853515625,-0.96,17216.0,-12988.0,-75.44
2024/09/30,黃金,2660.89990234375,2662.10009765625,2623.199951171875,2636.10009765625,973.0,2644.300048828125,-8.199951171875,-0.31,4228.0,-3255.0,-76.99
2024/10/01,黃金,2631.39990234375,2670.89990234375,2631.39990234375,2667.300048828125,153.0,2636.10009765625,31.199951171875,1.18,973.0,-820.0,-84.28
2024/10/02,黃金,2650.60009765625,2657.199951171875,2640.0,2647.10009765625,72.0,2667.300048828125,-20.199951171875,-0.76,153.0,-81.0,-52.94
2024/10/03,黃金,2642.800048828125,2657.10009765625,2640.0,2657.10009765625,354.0,2647.10009765625,10.0,0.38,72.0,282.0,391.67
2024/10/04,黃金,2656.0,2667.0,2639.0,2645.800048828125,114.0,2657.10009765625,-11.300048828125,-0.43,354.0,-240.0,-67.8
2024/10/07,黃金,2648.699951171875,2657.39990234375,2639.0,2644.800048828125,284.0,2645.800048828125,-1.0,-0.04,114.0,170.0,149.12
2024/10/08,黃金,2639.0,2639.0,2609.300048828125,2615.0,687.0,2644.800048828125,-29.800048828125,-1.13,284.0,403.0,141.9
2024/10/09,黃金,2603.0,2607.699951171875,2603.0,2606.0,152.0,2615.0,-9.0,-0.34,687.0,-535.0,-77.87
2024/10/10,黃金,2602.5,2628.300048828125,2602.5,2620.60009765625,320.0,2606.0,14.60009765625,0.56,152.0,168.0,110.53
2024/10/11,黃金,2638.300048828125,2658.10009765625,2638.199951171875,2657.60009765625,12.0,2620.60009765625,37.0,1.41,320.0,-308.0,-96.25
2024/10/14,黃金,2655.0,2655.300048828125,2647.800048828125,2647.800048828125,40.0,2657.60009765625,-9.800048828125,-0.37,12.0,28.0,233.33
2024/10/15,黃金,2661.39990234375,2661.39990234375,2661.39990234375,2661.39990234375,39.0,2647.800048828125,13.599853515625,0.51,40.0,-1.0,-2.5
2024/10/16,黃金,2674.0,2674.0,2674.0,2674.0,6.0,2661.39990234375,12.60009765625,0.47,39.0,-33.0,-84.62
2024/10/17,黃金,2677.39990234375,2691.699951171875,2677.199951171875,2691.0,30.0,2674.0,17.0,0.64,6.0,24.0,400.0
2024/10/18,黃金,2713.699951171875,2719.60009765625,2713.699951171875,2713.699951171875,29.0,2691.0,22.699951171875,0.84,30.0,-1.0,-3.33
2024/10/21,黃金,2721.89990234375,2738.39990234375,2719.5,2723.10009765625,52.0,2713.699951171875,9.400146484375,0.35,29.0,23.0,79.31
2024/10/22,黃金,2731.699951171875,2746.0,2728.60009765625,2744.199951171875,93.0,2723.10009765625,21.099853515625,0.77,52.0,41.0,78.85
2024/10/23,黃金,2742.5,2742.5,2714.199951171875,2714.39990234375,18.0,2744.199951171875,-29.800048828125,-1.09,93.0,-75.0,-80.65
2024/10/24,黃金,2729.0,2736.10009765625,2729.0,2734.89990234375,27.0,2714.39990234375,20.5,0.76,18.0,9.0,50.0
2024/10/25,黃金,2725.5,2742.39990234375,2725.5,2740.89990234375,29.0,2734.89990234375,6.0,0.22,27.0,2.0,7.41
2024/10/28,黃金,2736.10009765625,2742.89990234375,2729.5,2742.89990234375,56.0,2740.89990234375,2.0,0.07,29.0,27.0,93.1
2024/10/29,黃金,2768.39990234375,2768.39990234375,2768.39990234375,2768.39990234375,848.0,2742.89990234375,25.5,0.93,56.0,792.0,1414.29
2024/10/30,黃金,2774.60009765625,2789.0,2774.60009765625,2788.5,231.0,2768.39990234375,20.10009765625,0.73,848.0,-617.0,-72.76
2024/10/31,黃金,2787.39990234375,2787.5,2733.5,2738.300048828125,849.0,2788.5,-50.199951171875,-1.8,231.0,618.0,267.53
2024/11/01,黃金,2745.5,2756.0,2734.199951171875,2738.60009765625,109.0,2738.300048828125,0.300048828125,0.01,849.0,-740.0,-87.16
2024/11/04,黃金,2736.5,2737.10009765625,2736.10009765625,2736.10009765625,16.0,2738.60009765625,-2.5,-0.09,109.0,-93.0,-85.32
2024/11/05,黃金,2743.0,2743.89990234375,2740.300048828125,2740.300048828125,23.0,2736.10009765625,4.199951171875,0.15,16.0,7.0,43.75
2024/11/06,黃金,2734.5,2734.5,2659.39990234375,2667.60009765625,427.0,2740.300048828125,-72.699951171875,-2.65,23.0,404.0,1756.52
2024/11/07,黃金,2662.5,2699.10009765625,2662.5,2698.39990234375,676.0,2667.60009765625,30.7998046875,1.15,427.0,249.0,58.31
2024/11/08,黃金,2688.5,2694.60009765625,2682.89990234375,2687.5,1038.0,2698.39990234375,-10.89990234375,-0.4,676.0,362.0,53.55
2024/11/11,黃金,2671.699951171875,2671.699951171875,2611.199951171875,2611.199951171875,20.0,2687.5,-76.300048828125,-2.84,1038.0,-1018.0,-98.07
2024/11/12,黃金,2605.5,2605.5,2592.800048828125,2600.0,118.0,2611.199951171875,-11.199951171875,-0.43,20.0,98.0,490.0
2024/11/13,黃金,2611.10009765625,2611.800048828125,2580.800048828125,2580.800048828125,53.0,2600.0,-19.199951171875,-0.74,118.0,-65.0,-55.08
2024/11/14,黃金,2555.10009765625,2576.199951171875,2554.199951171875,2568.199951171875,27.0,2580.800048828125,-12.60009765625,-0.49,53.0,-26.0,-49.06
2024/11/15,黃金,2565.699951171875,2565.699951171875,2565.699951171875,2565.699951171875,20.0,2568.199951171875,-2.5,-0.1,27.0,-7.0,-25.93
2024/11/18,黃金,2591.699951171875,2610.699951171875,2589.39990234375,2610.60009765625,136.0,2565.699951171875,44.900146484375,1.75,20.0,116.0,580.0
2024/11/19,黃金,2621.89990234375,2627.699951171875,2619.300048828125,2627.10009765625,87.0,2610.60009765625,16.5,0.63,136.0,-49.0,-36.03
2024/11/20,黃金,2638.5,2648.199951171875,2638.5,2648.199951171875,27.0,2627.10009765625,21.099853515625,0.8,87.0,-60.0,-68.97
2024/11/21,黃金,2659.300048828125,2672.10009765625,2655.699951171875,2672.10009765625,33.0,2648.199951171875,23.900146484375,0.9,27.0,6.0,22.22
2024/11/22,黃金,2687.5,2710.5,2685.60009765625,2709.89990234375,41.0,2672.10009765625,37.7998046875,1.41,33.0,8.0,24.24
2024/11/25,黃金,2689.39990234375,2689.39990234375,2616.800048828125,2616.800048828125,94.0,2709.89990234375,-93.099853515625,-3.44,41.0,53.0,129.27
2024/11/26,黃金,2625.60009765625,2625.60009765625,2620.300048828125,2620.300048828125,177858.0,2616.800048828125,3.5,0.13,94.0,177764.0,189110.64
2024/11/27,黃金,2633.5,2657.89990234375,2627.199951171875,2639.89990234375,61653.0,2620.300048828125,19.599853515625,0.75,177858.0,-116205.0,-65.34
2024/11/29,黃金,2636.39990234375,2664.300048828125,2620.699951171875,2657.0,3861.0,2639.89990234375,17.10009765625,0.65,61653.0,-57792.0,-93.74
2024/12/02,黃金,2649.0,2649.800048828125,2621.699951171875,2634.89990234375,695.0,2657.0,-22.10009765625,-0.83,3861.0,-3166.0,-82.0
2024/12/03,黃金,2639.0,2654.699951171875,2636.0,2644.699951171875,1062.0,2634.89990234375,9.800048828125,0.37,695.0,367.0,52.81
2024/12/04,黃金,2639.199951171875,2658.300048828125,2637.0,2653.800048828125,249.0,2644.699951171875,9.10009765625,0.34,1062.0,-813.0,-76.55
2024/12/05,黃金,2652.39990234375,2655.0,2625.699951171875,2626.60009765625,573.0,2653.800048828125,-27.199951171875,-1.02,249.0,324.0,130.12
2024/12/06,黃金,2620.199951171875,2643.10009765625,2617.5,2638.60009765625,571.0,2626.60009765625,12.0,0.46,573.0,-2.0,-0.35
2024/12/09,黃金,2632.10009765625,2677.10009765625,2630.800048828125,2664.89990234375,935.0,2638.60009765625,26.2998046875,1.0,571.0,364.0,63.75
2024/12/10,黃金,2662.300048828125,2698.199951171875,2661.0,2697.60009765625,437.0,2664.89990234375,32.7001953125,1.23,935.0,-498.0,-53.26
2024/12/11,黃金,2701.800048828125,2733.800048828125,2693.10009765625,2733.800048828125,3387.0,2697.60009765625,36.199951171875,1.34,437.0,2950.0,675.06
2024/12/12,黃金,2725.10009765625,2725.10009765625,2677.39990234375,2687.5,2365.0,2733.800048828125,-46.300048828125,-1.69,3387.0,-1022.0,-30.17
2024/12/13,黃金,2688.199951171875,2689.300048828125,2647.89990234375,2656.0,1125.0,2687.5,-31.5,-1.17,2365.0,-1240.0,-52.43
2024/12/16,黃金,2658.300048828125,2663.300048828125,2651.0,2651.39990234375,877.0,2656.0,-4.60009765625,-0.17,1125.0,-248.0,-22.04
2024/12/17,黃金,2651.800048828125,2652.300048828125,2632.5,2644.39990234375,705.0,2651.39990234375,-7.0,-0.26,877.0,-172.0,-19.61
2024/12/18,黃金,2644.300048828125,2647.10009765625,2590.199951171875,2636.5,566.0,2644.39990234375,-7.89990234375,-0.3,705.0,-139.0,-19.72
2024/12/19,黃金,2582.10009765625,2610.300048828125,2582.10009765625,2592.199951171875,238.0,2636.5,-44.300048828125,-1.68,566.0,-328.0,-57.95
2024/12/20,黃金,2605.300048828125,2631.60009765625,2604.89990234375,2628.699951171875,592.0,2592.199951171875,36.5,1.41,238.0,354.0,148.74
2024/12/23,黃金,2620.0,2627.699951171875,2611.10009765625,2612.300048828125,451.0,2628.699951171875,-16.39990234375,-0.62,592.0,-141.0,-23.82
2024/12/24,黃金,2613.0,2620.0,2609.5,2620.0,35.0,2612.300048828125,7.699951171875,0.29,451.0,-416.0,-92.24
2024/12/26,黃金,2628.5,2638.800048828125,2627.89990234375,2638.800048828125,84.0,2620.0,18.800048828125,0.72,35.0,49.0,140.0
2024/12/27,黃金,2617.699951171875,2617.699951171875,2616.39990234375,2617.199951171875,642.0,2638.800048828125,-21.60009765625,-0.82,84.0,558.0,664.29
2024/12/30,黃金,2620.699951171875,2626.89990234375,2597.0,2606.10009765625,794.0,2617.199951171875,-11.099853515625,-0.42,642.0,152.0,23.68
2024/12/31,黃金,2608.39990234375,2629.199951171875,2604.89990234375,2629.199951171875,401.0,2606.10009765625,23.099853515625,0.89,794.0,-393.0,-49.5
2025/01/02,黃金,2633.0,2663.10009765625,2633.0,2658.89990234375,1728.0,2629.199951171875,29.699951171875,1.13,401.0,1327.0,330.92
2025/01/03,黃金,2658.699951171875,2658.699951171875,2641.800048828125,2645.0,591.0,2658.89990234375,-13.89990234375,-0.52,1728.0,-1137.0,-65.8
2025/01/06,黃金,2645.5,2647.0,2617.300048828125,2638.39990234375,960.0,2645.0,-6.60009765625,-0.25,591.0,369.0,62.44
2025/01/07,黃金,2653.39990234375,2657.5,2653.0,2656.699951171875,643.0,2638.39990234375,18.300048828125,0.69,960.0,-317.0,-33.02
2025/01/08,黃金,2655.5,2676.89990234375,2653.5,2664.5,999.0,2656.699951171875,7.800048828125,0.29,643.0,356.0,55.37
2025/01/09,黃金,2669.699951171875,2686.300048828125,2667.89990234375,2683.800048828125,1139.0,2664.5,19.300048828125,0.72,999.0,140.0,14.01
2025/01/10,黃金,2686.10009765625,2720.10009765625,2683.699951171875,2708.5,403.0,2683.800048828125,24.699951171875,0.92,1139.0,-736.0,-64.62
2025/01/13,黃金,2711.10009765625,2711.199951171875,2673.5,2673.5,765.0,2708.5,-35.0,-1.29,403.0,362.0,89.83
2025/01/14,黃金,2673.60009765625,2688.300048828125,2670.800048828125,2677.5,794.0,2673.5,4.0,0.15,765.0,29.0,3.79
2025/01/15,黃金,2690.800048828125,2712.5,2690.800048828125,2712.5,794.0,2677.5,35.0,1.31,794.0,0.0,0.0
2025/01/24,黃金,2761.800048828125,2794.800048828125,2761.0,2784.89990234375,136074.0,2712.5,72.39990234375,2.67,794.0,135280.0,17037.78
